Device name,Base price,Discout,Bonus,Gift_Details,Gift_value
Телефон сотовый APPLE iPhone 11 64GB (Black) ECO,299990,279990,2799,[]
Телефон сотовый SAMSUNG SM A 032 Galaxy A03 Core 32GB (NEW) FCKDS (Black),59890,44890,448,[]
Телефон сотовый VIVO Y01 2/32GB Elegant Black (V2118),64990,59990,5999,[]
Телефон сотовый VIVO Y15s 3/32 Mystic Blue (V2120),79990,69990,6999,[]
Телефон сотовый XIAOMI Redmi 10A 3/64GB Graphite Gray,69990,69990,1399,[]
Телефон сотовый SAMSUNG SM A 037 Galaxy A03s 32GB FZWDS (White),64890,64890,6489,[]
Телефон сотовый SAMSUNG SM A 037 Galaxy A03s 64GB FZWGS (White),74890,74890,7489,[]
Телефон сотовый HONOR X6 (4/64GB) Midnight Black,89990,89990,8999,['Наушники для телефона HONOR Choice Earbuds X3 LITE'],14980
Телефон сотовый HONOR X6 (4/64GB) Midnight Black,89990,89990,8999,['Наушники для телефона HONOR Choice Earbuds X3 LITE']
Телефон сотовый VIVO Y16 3/32GB Stellar Black (2204),79990,79990,7999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый SAMSUNG SM A 035 Galaxy A03 32GB FZKDS (Black),69890,69890,6989,[]
Телефон сотовый VIVO Y21 4/64GB Metallic Blue (V2111),99990,84990,8499,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO A16 32GB Black,89990,59990,5999,[]
Телефон сотовый XIAOMI Redmi 10C 4/64GB Graphite Gray,79990,79990,1599,[]
Телефон сотовый OPPO A17 4/64GB Midnight Black,84990,84990,8499,['Чехол для телефона OPPO A17 Silicone Cover Transparent'],990
Телефон сотовый OPPO A17 4/64GB Midnight Black,84990,84990,8499,['Чехол для телефона OPPO A17 Silicone Cover Transparent']
Телефон сотовый OPPO A17K 3/64GB Navy Blue,74990,74990,7499,[]
Телефон сотовый HONOR X7 (4/128GB) Midnight Black,119990,109990,10999,[]
Телефон сотовый SAMSUNG SM A 135 Galaxy A13 64GB FZWVS (white),119890,89890,8989,[]
Телефон сотовый SAMSUNG SM A 135 Galaxy A13 128GB FZWKS (white),139890,109890,10989,[]
Телефон сотовый VIVO Y22 4/64GB Starlit Blue (V2207),99990,99990,9999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый VIVO Y33s 4/128GB Midday Dream (V2109),129990,109990,10999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO A55 4/64GB Starry Black,119990,99990,9999,[]
Телефон сотовый XIAOMI Redmi Note 11 4/64GB Graphite Gray,109990,109990,2199,[]
Телефон сотовый XIAOMI Redmi Note 11 4/128GB Graphite Gray,119990,119990,2399,[]
Телефон сотовый HONOR X8 (6/128GB) Titanium Silver,149990,139990,13999,[]
Телефон сотовый SAMSUNG SM A 235 Galaxy A23 64GB FZKUS (Black),149890,109890,10989,[]
Телефон сотовый SAMSUNG SM A 235 Galaxy A23 128GB FZKKS (Black),169890,129890,12989,[]
Телефон сотовый VIVO Y35 4/64GB Dawn Gold (V2205),109990,109990,10999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый VIVO Y35 4/128GB Dawn Gold (V2205),129990,129990,12999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый VIVO Y53s 8/128GB Fantastic Rainbow (V2058),139990,129990,12999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO A74 Prism Black,139990,119990,11999,[]
Телефон сотовый XIAOMI Redmi Note 11S 6/128GB Graphite Gray,139990,139990,2799,[]
Телефон сотовый VIVO Y55 8/128GB Ice Dawn (V2154),159990,149990,14999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый HONOR X9 (6/128GB) Midnight Black,169990,159990,15999,[]
Телефон сотовый SAMSUNG SM A 336 Galaxy A33 5G 128GB BZKGS (Black),219890,159890,15989,[]
Телефон сотовый VIVO V23e 8/128GB Moonlight Shadow (V2116),189990,124990,1249,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO A96 (6/128) Starry Black,169990,129990,12999,[]
Телефон сотовый XIAOMI Redmi Note 11 Pro 8/128GB Graphite Gray,159990,159990,3199,[]
Телефон сотовый VIVO V25e 8/128GB Diamond Black (V2201),199990,199990,19999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']",29990
Телефон сотовый VIVO V25e 8/128GB Diamond Black (V2201),199990,199990,19999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']"
Телефон сотовый OPPO RENO 7 (8/128GB) Cosmic Black,219990,199990,19999,[]
Телефон сотовый OPPO RENO 7 5G (8/256GB) Startrails Blue,259990,259990,25999,[]
Телефон сотовый OPPO A77s 8/128GB Sunset Orange,169990,169990,16999,[]
Телефон сотовый HONOR 70 (8/256GB) Emerald Green,299990,299990,29999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']",26980
Телефон сотовый HONOR 70 (8/256GB) Emerald Green,299990,299990,29999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']"
Телефон сотовый HONOR 70 (8/128GB) Emerald Green,279990,279990,27999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']",26980
Телефон сотовый HONOR 70 (8/128GB) Emerald Green,279990,279990,27999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']"
Телефон сотовый VIVO V25 5G 8/256GB Diamond Black (V2202),259990,259990,25999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']",29990
Телефон сотовый VIVO V25 5G 8/256GB Diamond Black (V2202),259990,259990,25999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']"
Телефон сотовый VIVO V25 Pro 5G 12/256GB Starlight Black (V2158),329990,329990,32999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый']",29990
Телефон сотовый VIVO V25 Pro 5G 12/256GB Starlight Black (V2158),329990,329990,32999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый', 'Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']"
Телефон сотовый OPPO RENO 7 5G (8/256GB) Starry Black,259990,259990,25999,[]
Телефон сотовый XIAOMI 11T 8/256GB Celestial Blue,279990,279990,5599,[]
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 6/128GB BLGDS (Green),299890,249890,24989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 6/128GB BLGDS (Green),299890,249890,24989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BLGHS (Green),339890,279890,27989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BLGHS (Green),339890,279890,27989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BZAFS (Gray),349890,299890,29989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']",89990
Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BZAFS (Gray),349890,299890,29989,"['Наушники для телефона SAMSUNG Galaxy Buds Live (black) SM-R180NZKASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (white) SM-R180NZWASER', 'Наушники для телефона SAMSUNG Galaxy Buds Live (bronze) SM-R180NZNASER', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']"
